StkID,Year,Catch,Spn
18,1989,47121,16037
18,1990,11511,12202
18,1991,18459,22500
18,1992,8049,9129
18,1993,41340,22835
18,1994,4908,9500
18,1995,3824,5500
18,1996,11980,50077
18,1997,51150,35798
18,1998,14365,76888
18,1999,3205,35977
18,2000,23218,42638
18,2001,10456,131481
18,2002,29090,90280
18,2003,45170.829,78229
18,2004,96219.98944,60942
18,2005,14917.75486,62047
18,2006,30049.29901,38816
18,2007,2720.875472,41829
18,2008,2321.893827,16921
18,2009,1753.099862,31034
18,2010,2755.051538,16818
18,2011,9883.241522,55997
7,1952,1233243,485585
7,1953,625442,200691
7,1954,206990,34296
7,1955,545322,121167
7,1956,1211901,646906
7,1957,454525,138464
7,1958,613128,120104
7,1959,1008990,463060
7,1960,2027062,426546
7,1961,120097,39101
7,1962,221334,77713
7,1963,1226460,998231
7,1964,742658,238272
7,1965,105319,35335
7,1966,767065,209619
7,1967,952424,174715
7,1968,1456128,413862
7,1969,281061,70902
7,1970,625901,135388
7,1971,1892932,157193
7,1972,1822189,562650
7,1973,391785,55675
7,1974,549133,110026
7,1975,537834,244631
7,1976,1603656,384390
7,1977,267369,51330
7,1978,528871,146842
7,1979,1173029,258391
7,1980,1216895,497759
7,1981,191304,34540
7,1982,924783,249578
7,1983,1320172,382833
7,1984,3429042,580179
7,1985,622624,71975
7,1986,1087873,293804
7,1987,1485559,421015
7,1988,486030,363389
7,1989,463837,63381
7,1990,3796445,825837
7,1991,3329774,1037737
7,1992,2706701,511267
7,1993,2776092,555226
7,1994,1944427,450745
7,1995,781142,534559
7,1996,1049979,974349
7,1997,2483534,985827
7,1998,653197,879017
7,1999,154098,891922
7,2000,640695,758941
7,2001,183397,668783
7,2002,263625,382814
7,2003,850132.6513,608321
7,2004,342192.3487,91909
7,2005,347911.7088,535967
7,2006,691171.7573,468947
7,2007,131371.2947,305853
7,2008,180728.2355,249863
7,2009,37106.40642,213379
7,2010,1796999.685,2459946
7,2011,667785.7129,916643
6,1952,948,184
6,1953,352312,110917
6,1954,1715,299
6,1955,350,63
6,1956,481,81
6,1957,380456,223667
6,1958,9049,1863
6,1959,115,65
6,1960,2243,292
6,1961,687015,302565
6,1962,2458,1073
6,1963,105,83
6,1964,1117,254
6,1965,831101,364706
6,1966,6106,1753
6,1967,837,119
6,1968,2113,699
6,1969,1373146,278961
6,1970,6574,1368
6,1971,1975,171
6,1972,386,111
6,1973,1348521,278061
6,1974,23648,4459
6,1975,554,193
6,1976,1078,305
6,1977,1810664,516199
6,1978,24620,8614
6,1979,3053,511
6,1980,916,308
6,1981,3062165,752321
6,1982,205522,39841
6,1983,10457,2155
6,1984,5440,914
6,1985,8204592,1349263
6,1986,530795,181467
6,1987,67282,20546
6,1988,11927,6832
6,1989,10290456,1870910
6,1990,2228246,488259
6,1991,242287,46259
6,1992,66574,5861
6,1993,7718990,2620454
6,1994,2406778,686411
6,1995,220640,214103
6,1996,39259,41187
6,1997,4587382,1858652
6,1998,975865,1179249
6,1999,52580,189360
6,2000,54018,63703
6,2001,870756,3510789
6,2002,1737996,3062151
6,2003,442851.85,279170
6,2004,142372.8076,10222
6,2005,885687.4236,1450171.4
6,2006,365085.9872,169768
6,2007,44025.31252,75100
6,2008,25306.15383,7091
6,2009,16591.4843,149400
6,2010,329538.2766,250651
6,2011,58055.94925,45471
2,1952,292,35
2,1953,1157920,368634
2,1954,31416,5470
2,1955,50922,7582
2,1956,10670,913
2,1957,1016993,531108
2,1958,114829,23619
2,1959,44675,8225
2,1960,12196,2396
2,1961,948837,410887
2,1962,36317,18643
2,1963,3831,3222
2,1964,6280,1426
2,1965,558374,214943
2,1966,42030,9027
2,1967,12199,1629
2,1968,1530,389
2,1969,896669,207014
2,1970,78819,14978
2,1971,6610,1535
2,1972,30090,7341
2,1973,1392568,214230
2,1974,76218,14190
2,1975,51298,14229
2,1976,13282,2898
2,1977,514286,146459
2,1978,43505,12738
2,1979,183446,31918
2,1980,2842,946
2,1981,1064367,249494
2,1982,96837,16758
2,1983,13536,2246
2,1984,20212,1228
2,1985,1703390,274621
2,1986,79273,28715
2,1987,16422,6472
2,1988,11155,7117
2,1989,2791390,575697
2,1990,668835,189079
2,1991,298242,76860
2,1992,237827,19513
2,1993,3805997,1356737
2,1994,348320,76462
2,1995,65809.35983,34362
2,1996,83766,62991
2,1997,2347922,907652
2,1998,194725,136153
2,1999,24579,62120
2,2000,394979,454397
2,2001,212590,351515
2,2002,154400,34498
2,2003,79884.54568,36647
2,2004,557563.1729,83418
2,2005,165682.4534,293159.6
2,2006,128360.0244,27504
2,2007,11958.56729,8487
2,2008,123132.2871,146569
2,2009,14897.03679,86964
2,2010,77439.34998,75241
2,2011,5232.125314,3783
3,1952,152847,40384
3,1953,153270,42134
3,1954,768250,141859
3,1955,333029,51739
3,1956,156838,38438
3,1957,134364,38522
3,1958,1045691,112251
3,1959,591155,79305
3,1960,208611,38880
3,1961,123215,46863
3,1962,206604,124485
3,1963,392339,138794
3,1964,135153,30692
3,1965,118816,39385
3,1966,480568,101529
3,1967,639383,91480
3,1968,153768,30368
3,1969,188858,49211
3,1970,302891,45797
3,1971,514952,39691
3,1972,107550,36700
3,1973,209162,30404
3,1974,204916,41277
3,1975,336948,175941
3,1976,560492,150734
3,1977,97400,23197
3,1978,232932,58898
3,1979,1562201,290042
3,1980,209931,72050
3,1981,214818,21826
3,1982,375573,69420
3,1983,405087,121692
3,1984,620143,60957
3,1985,411292,42099
3,1986,283926,77177
3,1987,933163,211085
3,1988,535460,367736
3,1989,320910,43179
3,1990,382274,94120
3,1991,378654,95914
3,1992,513744,98087
3,1993,461255,91071
3,1994,647085,138026
3,1995,273950.6402,141613
3,1996,438501,333163
3,1997,146608,55343
3,1998,261582,185592
3,1999,49597,138182
3,2000,319583,372456
3,2001,92703,152290
3,2002,236951,324128
3,2003,170607.2489,78266
3,2004,434346.1012,87669
3,2005,97808.56016,175690
3,2006,174577.9409,149142
3,2007,17365.00452,41607
3,2008,67653.44731,160923
3,2009,4760.974007,27793
3,2010,166582.6962,204414
3,2011,97613.05115,85484
10,1952,179967,47061
10,1953,218469,42491
10,1954,190286,18213
10,1955,135005,14553
10,1956,207874,49754
10,1957,134339,14536
10,1958,154735,15166
10,1959,224231,26159
10,1960,188500,36838
10,1961,57340,31681
10,1962,77255,26369
10,1963,171181,48893
10,1964,115608,48908
10,1965,68633,16230
10,1966,85755,20116
10,1967,255364,39876
10,1968,242479,58104
10,1969,171641,37382
10,1970,146558,30656
10,1971,439996,24629
10,1972,229149,54722
10,1973,438981,56735
10,1974,675764,119814
10,1975,247925,61581
10,1976,408643,77535
10,1977,166970,23845
10,1978,358751,95141
10,1979,260185,60988
10,1980,427902,78613
10,1981,345082,49023
10,1982,495013,119738
10,1983,364193,44029
10,1984,201902,40245
10,1985,131739,11998
10,1986,1289416,335630
10,1987,754868,164946
10,1988,346645,166591
10,1989,209025,29606
10,1990,813505,166773
10,1991,723647,294026
10,1992,297578,186543
10,1993,1393692,244954
10,1994,340170,39234
10,1995,43381,38588
10,1996,56391.15316,55647
10,1997,178721.2122,50202
10,1998,106544.974,296511
10,1999,20705.65504,49586
10,2000,42940.96103,14470
10,2001,17829.18978,44450
10,2002,36295.63908,189445
10,2003,141124.6584,310960
10,2004,35476.78997,38386
10,2005,18878.18153,53546
10,2006,175600.61,266459
10,2007,42482.29559,93480
10,2008,8937.463847,19500
10,2009,4729.452515,53977
10,2010,163953.7339,128285
10,2011,114467.0301,233065
9,1952,16981,7317
9,1953,25984,3472
9,1954,7291406,2026754
9,1955,498715,63859
9,1956,13512,3321
9,1957,28893,2809
9,1958,11780763,3297543
9,1959,773772,134834
9,1960,6191,1907
9,1961,2384,1150
9,1962,933973,1144569
9,1963,227973,158355
9,1964,1851,604
9,1965,5231,2087
9,1966,1463350,1282180
9,1967,2297188,844954
9,1968,18421,3671
9,1969,23358,5985
9,1970,2401247,1528862
9,1971,2855565,290192
9,1972,26483,4192
9,1973,25262,3808
9,1974,4237533,1150772
9,1975,544966,167365
9,1976,33909,4780
9,1977,53209,12470
9,1978,4964955,1887442
9,1979,846934,299403
9,1980,11473,2498
9,1981,83275,10293
9,1982,5916702,2863355
9,1983,1442915,211365
9,1984,34073,4334
9,1985,8378,1523
9,1986,6848667,2344026
9,1987,1508560,617325
9,1988,43976,5007
9,1989,3975,743
9,1990,6703477,3600360
9,1991,2799649,1242458
9,1992,60295,12922
9,1993,15032,1332
9,1994,5988494,1317130
9,1995,523267,410702
9,1996,17611.33402,12466
9,1997,17678.74464,1117
9,1998,422591.6876,1390165
9,1999,97055.37976,308548
9,2000,33603.27936,855
9,2001,21677.58093,4859
9,2002,1242510.601,5532263
9,2003,274315.2833,381278
9,2004,12205.04303,2994
9,2005,11942.08207,21113
9,2006,2903461.777,2897709
9,2007,34520.96864,60079
9,2008,4248.275954,162
9,2009,5234.245876,32481
9,2010,9249174.52,7519018
9,2011,132208.8012,165695
13,1952,101009,29765
13,1953,42311,8789
13,1954,153444,28137
13,1955,86871,21636
13,1956,17474,8490
13,1957,179093,20237
13,1958,218018,35939
13,1959,64214,8363
13,1960,14917,7033
13,1961,3679,4246
13,1962,16213,15924
13,1963,24148,14469
13,1964,2560,1196
13,1965,31793,17924
13,1966,34520,19489
13,1967,142085,22581
13,1968,18377,3799
13,1969,129167,58727
13,1970,83122,10435
13,1971,74237,4990
13,1972,125440,25738
13,1973,333672,48541
13,1974,346146,64093
13,1975,114515,29706
13,1976,286649,49932
13,1977,216299,52627
13,1978,190335,75171
13,1979,146494,45062
13,1980,196207,73830
13,1981,198751,42002
13,1982,905609,295014
13,1983,259955,39341
13,1984,283736,59602
13,1985,199274,37019
13,1986,1223390,110738
13,1987,376413,69492
13,1988,544284,49257
13,1989,84500,17167
13,1990,42282,16377
13,1991,157436,38132
13,1992,304239,58686
13,1993,783032,84456
13,1994,607583,64956
13,1995,44082,34031
13,1996,312896.5744,72043
13,1997,461356.8015,25504
13,1998,209170.2255,57092
13,1999,37104.40319,34838
13,2000,171884.4417,6613
13,2001,40278.36237,19915
13,2002,178819.2026,101033
13,2003,71990.70766,49488
13,2004,46926.73018,25379
13,2005,21914.92531,48516
13,2006,76635.14831,39781
13,2007,19777.8668,39447
13,2008,16735.7188,2756
13,2009,5649.020927,35556
13,2010,125324.2785,59897
13,2011,182521.1353,72569
12,1952,0,NA
12,1953,246,50
12,1954,24718,3369
12,1955,185,41
12,1956,0,NA
12,1957,354,40
12,1958,31210,4736
12,1959,4584,572
12,1960,0,NA
12,1961,24,23
12,1962,12803,11935
12,1963,3432,2011
12,1964,12,9
